#{"t_start": 1767134691.8953786, "env_id": "CartPole-v1"}
r,l,t
473.0,473,23.68263
367.0,367,23.826817
500.0,500,24.020796
293.0,293,24.896077
500.0,500,25.118006
500.0,500,25.318835
415.0,415,25.489149
398.0,398,25.647027
500.0,500,26.61876
500.0,500,26.818533
500.0,500,27.019794
475.0,475,27.208112
500.0,500,28.203485
500.0,500,28.407414
500.0,500,28.607996
500.0,500,28.806109
500.0,500,29.7916
500.0,500,29.992511
500.0,500,30.190285
435.0,435,41.435473
124.0,124,41.485563
500.0,500,42.422279
500.0,500,42.631474
500.0,500,42.829995
500.0,500,43.025815
500.0,500,43.982489
500.0,500,44.187546
500.0,500,44.385764
500.0,500,44.583827
500.0,500,45.570507
500.0,500,45.779749
500.0,500,45.979748
500.0,500,46.179281
500.0,500,47.166475
500.0,500,47.401469
500.0,500,47.62224
500.0,500,47.839777
500.0,500,48.817474
500.0,500,49.05219
500.0,500,49.267458
500.0,500,49.482643
500.0,500,50.518277
500.0,500,50.738664
500.0,500,50.963502
500.0,500,51.165278
500.0,500,52.15614
500.0,500,52.390419
500.0,500,52.596942
500.0,500,52.814217
500.0,500,64.986078
500.0,500,65.232879
500.0,500,65.448094
500.0,500,65.664995
500.0,500,65.872022
500.0,500,66.938683
500.0,500,67.154984
500.0,500,67.370996
500.0,500,67.56951
500.0,500,68.622089
500.0,500,68.822518
500.0,500,69.022572
500.0,500,69.218266
500.0,500,70.279417
500.0,500,70.486737
500.0,500,70.689143
500.0,500,70.890752
500.0,500,71.933945
500.0,500,72.142506
500.0,500,72.349771
500.0,500,72.560492
500.0,500,73.561703
500.0,500,73.780082
500.0,500,73.982818
500.0,500,74.18446
500.0,500,75.226021
500.0,500,75.440885
500.0,500,75.642069
500.0,500,75.85693
500.0,500,76.923011
500.0,500,88.285583
500.0,500,88.494816
500.0,500,88.708117
500.0,500,89.718312
500.0,500,89.952736
500.0,500,90.169516
500.0,500,90.370482
500.0,500,91.354359
500.0,500,91.594584
500.0,500,91.799818
500.0,500,91.998594
500.0,500,92.978645
500.0,500,93.217663
500.0,500,93.418619
500.0,500,93.615771
500.0,500,93.810512
500.0,500,94.870436
500.0,500,95.076936
500.0,500,95.279662
500.0,500,95.481662
500.0,500,96.518806
500.0,500,96.718498
500.0,500,96.915962
500.0,500,97.110367
500.0,500,98.146049
500.0,500,98.355561
500.0,500,98.578525
500.0,500,98.788021
500.0,500,99.81992
500.0,500,100.024592
500.0,500,111.298712
500.0,500,111.498381
500.0,500,112.477952
500.0,500,112.699489
500.0,500,112.913427
500.0,500,113.114547
500.0,500,114.0657
500.0,500,114.284192
500.0,500,114.4875
500.0,500,114.689289
500.0,500,115.684184
500.0,500,115.909068
500.0,500,116.110213
500.0,500,116.3133
500.0,500,117.285109
500.0,500,117.501755
500.0,500,117.70468
500.0,500,117.906347
500.0,500,118.858436
500.0,500,119.089577
500.0,500,119.303051
500.0,500,119.513222
500.0,500,120.470315
500.0,500,120.691591
500.0,500,120.889603
500.0,500,121.089142
500.0,500,121.28311
500.0,500,122.248383
500.0,500,122.450217
500.0,500,122.669612
500.0,500,133.922976
500.0,500,134.884655
500.0,500,135.085131
500.0,500,135.290206
500.0,500,135.491818
500.0,500,136.480399
500.0,500,136.681875
500.0,500,136.883071
500.0,500,137.084197
500.0,500,138.040333
500.0,500,138.251661
500.0,500,138.452225
500.0,500,138.651738
500.0,500,139.612741
500.0,500,139.827345
500.0,500,140.038134
500.0,500,140.244941
500.0,500,141.192842
500.0,500,141.400691
500.0,500,141.604423
500.0,500,141.804165
